,id,nome,abreviacao,escudos,nome_fantasia
279,279,Guarani,GUA,"{'60x60': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_65x65.png', '45x45': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_45x45.png', '30x30': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_30x30.png'}",Guarani
280,280,Bragantino,BGT,"{'60x60': 'https://s.glbimg.com/es/sde/f/organizacoes/2020/01/01/65.png', '45x45': 'https://s.glbimg.com/es/sde/f/organizacoes/2020/01/01/45.png', '30x30': 'https://s.glbimg.com/es/sde/f/organizacoes/2020/01/01/30.png'}",Bragantino
282,282,Atlético-MG,ATL,"{'60x60': 'https://s.glbimg.com/es/sde/f/organizacoes/2017/11/23/Atletico-Mineiro-escudo65px.png', '45x45': 'https://s.glbimg.com/es/sde/f/organizacoes/2017/11/23/Atletico-Mineiro-escudo45px.png', '30x30': 'https://s.glbimg.com/es/sde/f/organizacoes/2017/11/23/Atletico-Mineiro-escudo30px.png'}",Atlético-MG
283,283,Cruzeiro,CRU,"{'60x60': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_65x65.png', '45x45': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_45x45.png', '30x30': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_30x30.png'}",Cruzeiro
284,284,Grêmio,GRE,"{'60x60': 'https://s.glbimg.com/es/sde/f/organizacoes/2014/04/14/gremio_60x60.png', '45x45': 'https://s.glbimg.com/es/sde/f/organizacoes/2014/04/14/gremio_45x45.png', '30x30': 'https://s.glbimg.com/es/sde/f/organizacoes/2014/04/14/gremio_30x30.png'}",Grêmio
285,285,Internacional,INT,"{'60x60': 'https://s.glbimg.com/es/sde/f/organizacoes/2016/05/03/inter65.png', '45x45': 'https://s.glbimg.com/es/sde/f/organizacoes/2016/05/03/inter45.png', '30x30': 'https://s.glbimg.com/es/sde/f/organizacoes/2016/05/03/inter30.png'}",Internacional
286,286,Juventude,JUV,"{'60x60': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_65x65.png', '45x45': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_45x45.png', '30x30': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_30x30.png'}",Juventude
287,287,Vitória,VIT,"{'60x60': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_65x65.png', '45x45': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_45x45.png', '30x30': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_30x30.png'}",Vitória
288,288,Criciúma,CRI,"{'60x60': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_65x65.png', '45x45': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_45x45.png', '30x30': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_30x30.png'}",Criciúma
289,289,Paraná,PAR,"{'60x60': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_65x65.png', '45x45': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_45x45.png', '30x30': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_30x30.png'}",Paraná
290,290,Goiás,GOI,"{'60x60': 'https://s.glbimg.com/es/sde/f/organizacoes/2019/05/01/Goias_65px.png', '45x45': 'https://s.glbimg.com/es/sde/f/organizacoes/2019/05/01/Goias_45px.png', '30x30': 'https://s.glbimg.com/es/sde/f/organizacoes/2019/05/01/Goias_30px.png'}",Goiás
291,291,Paysandu,PAY,"{'60x60': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_65x65.png', '45x45': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_45x45.png', '30x30': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_30x30.png'}",Paysandu
292,292,Sport,SPO,"{'60x60': 'https://s.glbimg.com/es/sde/f/organizacoes/2015/07/21/sport65.png', '45x45': 'https://s.glbimg.com/es/sde/f/organizacoes/2015/07/21/sport45.png', '30x30': 'https://s.glbimg.com/es/sde/f/organizacoes/2015/07/21/sport30.png'}",Sport
293,293,Athlético-PR,CAP,"{'60x60': 'https://s.glbimg.com/es/sde/f/organizacoes/2019/09/09/Athletico-PR-65x65.png', '45x45': 'https://s.glbimg.com/es/sde/f/organizacoes/2019/09/09/Athletico-PR-45x45.png', '30x30': 'https://s.glbimg.com/es/sde/f/organizacoes/2019/09/09/Athletico-PR-30x30.png'}",Athlético-PR
294,294,Coritiba,CFC,"{'60x60': 'https://s.glbimg.com/es/sde/f/organizacoes/2017/03/29/coritiba65.png', '45x45': 'https://s.glbimg.com/es/sde/f/organizacoes/2017/03/29/coritiba45.png', '30x30': 'https://s.glbimg.com/es/sde/f/organizacoes/2017/03/29/coritiba30.png'}",Coritiba
296,296,Botafogo-SP,BOT,"{'60x60': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_65x65.png', '45x45': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_45x45.png', '30x30': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_30x30.png'}",Botafogo-SP
303,303,Ponte Preta,PON,"{'60x60': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_65x65.png', '45x45': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_45x45.png', '30x30': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_30x30.png'}",Ponte Preta
3057,3057,Boa Esporte,BEC,"{'60x60': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_65x65.png', '45x45': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_45x45.png', '30x30': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_30x30.png'}",Boa Esporte
306,306,Santo André,SAN,"{'60x60': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_65x65.png', '45x45': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_45x45.png', '30x30': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_30x30.png'}",Santo André
307,307,São Bento,SBE,"{'60x60': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_65x65.png', '45x45': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_45x45.png', '30x30': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_30x30.png'}",São Bento
309,309,Brasil de Pelotas,BRA,"{'60x60': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_65x65.png', '45x45': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_45x45.png', '30x30': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_30x30.png'}",Brasil de Pelotas
314,314,Avaí,AVA,"{'60x60': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_65x65.png', '45x45': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_45x45.png', '30x30': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_30x30.png'}",Avaí
315,315,Chapecoense,CHA,"{'60x60': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_65x65.png', '45x45': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_45x45.png', '30x30': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_30x30.png'}",Chapecoense
316,316,Figueirense,FIG,"{'60x60': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_65x65.png', '45x45': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_45x45.png', '30x30': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_30x30.png'}",Figueirense
317,317,Joinville,JEC,"{'60x60': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_65x65.png', '45x45': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_45x45.png', '30x30': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_30x30.png'}",Joinville
319,319,Londrina,LON,"{'60x60': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_65x65.png', '45x45': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_45x45.png', '30x30': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_30x30.png'}",Londrina
321,321,Operário-PR,OPE,"{'60x60': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_65x65.png', '45x45': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_45x45.png', '30x30': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_30x30.png'}",Operário-PR
327,327,América-MG,AME,"{'60x60': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_65x65.png', '45x45': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_45x45.png', '30x30': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_30x30.png'}",América-MG
337,337,Confiança,CON,"{'60x60': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_65x65.png', '45x45': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_45x45.png', '30x30': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_30x30.png'}",Confiança
340,340,CRB,CRB,"{'60x60': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_65x65.png', '45x45': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_45x45.png', '30x30': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_30x30.png'}",CRB
341,341,CSA,CSA,"{'60x60': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_65x65.png', '45x45': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_45x45.png', '30x30': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_30x30.png'}",CSA
342,342,ASA Arapiraca,ASA,"{'60x60': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_65x65.png', '45x45': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_45x45.png', '30x30': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_30x30.png'}",ASA Arapiraca
343,343,Náutico,NAU,"{'60x60': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_65x65.png', '45x45': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_45x45.png', '30x30': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_30x30.png'}",Náutico
344,344,Santa Cruz,STC,"{'60x60': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_65x65.png', '45x45': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_45x45.png', '30x30': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_30x30.png'}",Santa Cruz
346,346,Treze,TRZ,"{'60x60': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_65x65.png', '45x45': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_45x45.png', '30x30': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_30x30.png'}",Treze
347,347,Botafogo-PB,BOT,"{'60x60': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_65x65.png', '45x45': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_45x45.png', '30x30': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_30x30.png'}",Botafogo-PB
349,349,Campinense,CAM,"{'60x60': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_65x65.png', '45x45': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_45x45.png', '30x30': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_30x30.png'}",Campinense
350,350,ABC,ABC,"{'60x60': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_65x65.png', '45x45': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_45x45.png', '30x30': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_30x30.png'}",ABC
351,351,América-RN,AME,"{'60x60': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_65x65.png', '45x45': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_45x45.png', '30x30': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_30x30.png'}",América-RN
354,354,Ceará,CEA,"{'60x60': 'https://s.glbimg.com/es/sde/f/organizacoes/2019/10/10/ceara-65x65.png', '45x45': 'https://s.glbimg.com/es/sde/f/organizacoes/2019/10/10/ceara-45x45.png', '30x30': 'https://s.glbimg.com/es/sde/f/organizacoes/2019/10/10/ceara-30x30.png'}",Ceará
356,356,Fortaleza,FOR,"{'60x60': 'https://s.glbimg.com/es/sde/f/organizacoes/2018/06/10/fortaleza-ec-65px.png', '45x45': 'https://s.glbimg.com/es/sde/f/organizacoes/2018/06/10/fortaleza-ec-45px.png', '30x30': 'https://s.glbimg.com/es/sde/f/organizacoes/2018/06/10/fortaleza-ec-30px.png'}",Fortaleza
362,362,Moto Club,MOT,"{'60x60': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_65x65.png', '45x45': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_45x45.png', '30x30': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_30x30.png'}",Moto Club
363,363,Sampaio Corrêa,SAM,"{'60x60': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_65x65.png', '45x45': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_45x45.png', '30x30': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_30x30.png'}",Sampaio Corrêa
364,364,Remo,REM,"{'60x60': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_65x65.png', '45x45': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_45x45.png', '30x30': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_30x30.png'}",Remo
373,373,Atlético-GO,ACG,"{'60x60': 'https://s.glbimg.com/es/sde/f/organizacoes/2020/07/02/atletico-go-2020-65.png', '45x45': 'https://s.glbimg.com/es/sde/f/organizacoes/2020/07/02/atletico-go-2020-45.png', '30x30': 'https://s.glbimg.com/es/sde/f/organizacoes/2020/07/02/atletico-go-2020-30.png'}",Atlético-GO
375,375,Vila Nova,VIL,"{'60x60': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_65x65.png', '45x45': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_45x45.png', '30x30': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_30x30.png'}",Vila Nova
386,386,São Caetano,SAO,"{'60x60': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_65x65.png', '45x45': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_45x45.png', '30x30': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_30x30.png'}",São Caetano
388,388,Brasiliense,BRA,"{'60x60': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_65x65.png', '45x45': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_45x45.png', '30x30': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_30x30.png'}",Brasiliense
